doc_id,doc_type,asset_id,title,content
D001,Specification,A001,11kV Power Transformer Technical Specification,Transformer T1/T2 rated 11kV/0.433kV 2500 kVA ONAN cooling minimum efficiency 98.5% at 75% load. Vector group Dyn11. Vendor Siemens Energy. Standard IEC 60076. Lead time 180 days. T1 awaiting final alignment; T2 complete. Installation requires civil foundation completion 14 days prior.
D002,Specification,A003,Medium Voltage Switchgear Technical Specification,Switchgear SG1/SG2 11kV 630A vacuum circuit breaker type IP4X enclosure arc-resistant per IEC 62271-200. Vendor Schneider Electric. Lead time 120 days. SG1 delayed at vendor FAT stage due to component shortage. SG2 delivered and installed.
D003,Specification,A005,UPS System Technical Specification,UPS modules 1MW capacity modular N+1 redundant double-conversion online per IEC 62040-3 minimum 10 minutes battery autonomy at full load. Vendor Vertiv. Module A delivered onsite. Module B FAT delayed 3 weeks due to battery cell supply constraint.
D004,Specification,A007,Diesel Generator Technical Specification,Generator units 2.5MW prime power rated Tier 4 Final emissions compliant with automatic transfer switch 72-hour fuel autonomy at full load. Vendor Cummins. Unit 1 delivered undergoing site integration. Unit 2 delayed in transit port congestion estimated 18-day slip.
D005,Specification,A009,Chiller Unit Technical Specification,Chiller units water-cooled centrifugal type minimum COP 6.2 at ARI conditions N+1 redundant 1200 TR each. Vendor Trane. CH-01 delivered and commissioned. CH-02 in transit arriving within 2 weeks of original schedule.
D006,Vendor Submittal,A006,UPS Module B Factory Acceptance Test Report,FAT for UPS Module B identified deviation in battery cell internal resistance exceeding tolerance by 4%. Vendor Vertiv initiated cell replacement and re-test. Revised FAT completion 3 weeks pushing site delivery. Logged as non-conformance against delivery schedule baseline.
D007,Vendor Submittal,A008,Generator Unit 2 Shipping Status Report,Generator Unit 2 delayed at origin port due to congestion and customs backlog. Cummins confirmed unit passed factory testing no quality non-conformances. Logistics delay sole driver of slippage estimated 18-day delay versus original delivery date.
D008,Commissioning Document,A001,Energization Readiness Protocol,Energization requires transformer installation megger testing complete; switchgear installation relay testing complete; busway installation continuity testing complete; earthing system tested certified; utility connection approval obtained. All five prerequisites must reach 100% completion per Uptime Institute Tier III guidelines.
D009,Commissioning Document,A005,Power System Commissioning Protocol,Power system commissioning follows energization. Requires UPS load bank testing at 25/50/75/100% load steps; generator load test automatic transfer switch verification; PDU energization branch circuit verification. All power assets must demonstrate N+1 redundancy compliance before integrated systems testing.
D010,Commissioning Document,A011,Cooling System Commissioning Protocol,Cooling commissioning requires chiller plant operational verification at design load; CRAH unit airflow temperature setpoint validation; cooling tower water treatment flow verification; integrated BMS control loop testing. Redundancy testing must confirm N+1 capability under simulated single-unit failure.
D011,RFI Log,A003,RFI-0142 Switchgear Delivery Schedule Impact,RFI on SG1 delay impact on energization. Resolution: resequence SG2-fed loads to proceed independently where feasible while tracking SG1 critical path. Precedent: similar resequencing applied on Transformer T1 installation in prior phase.
D012,RFI Log,A014,RFI-0156 Busway Distribution Delay Clarification,RFI on busway delay impact on energization readiness. Vendor delay due to copper bus bar fabrication backlog. Resolution: expedited air freight authorized; partial delivery split into two batches to de-risk critical path exposure.
